2026-04-17 02:35:11 | DEBUG | entry | [BASUSDT] Фандинг 2 (Diff) триггер: diff=0.07624500000000001%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [BLUAIUSDT] Фандинг 2 (Diff) триггер: diff=0.05707199999999999%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [BTRUSDT] Фандинг 2 (Diff) триггер: diff=0.056014%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [COINUSDT] Фандинг 2 (Diff) триггер: diff=0.053389%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [CYSUSDT] Фандинг 2 (Diff) триггер: diff=0.06774999999999999%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [DUSDT] Фандинг 2 (Diff) триггер: diff=0.13936199999999999%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [ESPORTSUSDT] Фандинг 2 (Diff) триггер: diff=0.053415%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [EWJUSDT] Фандинг 2 (Diff) триггер: diff=0.081053%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [GRIFFAINUSDT] Фандинг 2 (Diff) триггер: diff=0.082949%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [HANAUSDT] Фандинг 2 (Diff) триггер: diff=0.08426099999999999%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [LIGHTUSDT] Фандинг 2 (Diff) триггер: diff=0.073084%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [LYNUSDT] Фандинг 2 (Diff) триггер: diff=0.11513900000000002%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [METAUSDT] Фандинг 2 (Diff) триггер: diff=0.052596000000000004%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [ORDIUSDT] Фандинг 2 (Diff) триггер: diff=0.066664%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [PAYPUSDT] Фандинг 2 (Diff) триггер: diff=0.545005%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [PIPPINUSDT] Фандинг 2 (Diff) триггер: diff=0.075701%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [PTBUSDT] Фандинг 2 (Diff) триггер: diff=0.06719599999999999%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [QUSDT] Фандинг 2 (Diff) триггер: diff=0.085927%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [RAVEUSDT] Фандинг 2 (Diff) триггер: diff=0.562623%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [REDUSDT] Фандинг 2 (Diff) триггер: diff=0.08229800000000001%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [RIVERUSDT] Фандинг 2 (Diff) триггер: diff=0.050344%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [SIGNUSDT] Фандинг 2 (Diff) триггер: diff=0.183575%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [SIRENUSDT] Фандинг 2 (Diff) триггер: diff=0.100092%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [SNDKUSDT] Фандинг 2 (Diff) триггер: diff=0.079327%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [SPACEUSDT] Фандинг 2 (Diff) триггер: diff=0.056674999999999996%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [TACUSDT] Фандинг 2 (Diff) триггер: diff=0.09371199999999999%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [TAUSDT] Фандинг 2 (Diff) триггер: diff=0.05296000000000001%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [TRIAUSDT] Фандинг 2 (Diff) триггер: diff=0.069164%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [TRUTHUSDT] Фандинг 2 (Diff) триггер: diff=0.073086%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [VANRYUSDT] Фандинг 2 (Diff) триггер: diff=0.115915%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [WALUSDT] Фандинг 2 (Diff) триггер: diff=0.062942%, min_time_left=1488.9s
2026-04-17 02:35:11 | DEBUG | entry | [XPINUSDT] Фандинг 2 (Diff) триггер: diff=0.10182899999999998%, min_time_left=1488.9s
2026-04-17 02:35:11 | INFO | entry | ⚖️ [Фандинг 2] Diff-Блок! Под запретом 37 монет: EWJUSDT, PAYPUSDT, TRUTHUSDT, HANAUSDT, ORDIUSDT...
2026-04-17 02:36:11 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 02:36:11 | DEBUG | entry | [AKEUSDT] Фандинг 2 (Diff) триггер: diff=0.06830299999999999%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [APRUSDT] Фандинг 2 (Diff) триггер: diff=0.07288900000000001%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [ARCUSDT] Фандинг 2 (Diff) триггер: diff=0.165666%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [ARIAUSDT] Фандинг 2 (Diff) триггер: diff=0.13185800000000003%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [AXLUSDT] Фандинг 2 (Diff) триггер: diff=0.14732400000000007%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [BASUSDT] Фандинг 2 (Diff) триггер: diff=0.07600900000000001%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [BLUAIUSDT] Фандинг 2 (Diff) триггер: diff=0.057277999999999996%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [BTRUSDT] Фандинг 2 (Diff) триггер: diff=0.055973999999999996%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [COINUSDT] Фандинг 2 (Diff) триггер: diff=0.053870999999999995%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [CYSUSDT] Фандинг 2 (Diff) триггер: diff=0.067562%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [DUSDT] Фандинг 2 (Diff) триггер: diff=0.13858499999999999%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [ESPORTSUSDT] Фандинг 2 (Diff) триггер: diff=0.053415%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [EWJUSDT] Фандинг 2 (Diff) триггер: diff=0.08057500000000001%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [GRIFFAINUSDT] Фандинг 2 (Diff) триггер: diff=0.082949%, min_time_left=1428.0s
2026-04-17 02:36:11 | DEBUG | entry | [HANAUSDT] Фандинг 2 (Diff) триггер: diff=0.08352200000000001%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [LIGHTUSDT] Фандинг 2 (Diff) триггер: diff=0.07280099999999999%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [LYNUSDT] Фандинг 2 (Diff) триггер: diff=0.11510100000000001%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [METAUSDT] Фандинг 2 (Diff) триггер: diff=0.052247999999999996%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [ORDIUSDT] Фандинг 2 (Diff) триггер: diff=0.065635%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [PAYPUSDT] Фандинг 2 (Diff) триггер: diff=0.5512050000000001%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [PIPPINUSDT] Фандинг 2 (Diff) триггер: diff=0.075615%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [PTBUSDT] Фандинг 2 (Diff) триггер: diff=0.067135%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [QUSDT] Фандинг 2 (Diff) триггер: diff=0.083857%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [RAVEUSDT] Фандинг 2 (Diff) триггер: diff=0.568741%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [REDUSDT] Фандинг 2 (Diff) триггер: diff=0.082407%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [SIGNUSDT] Фандинг 2 (Diff) триггер: diff=0.18257800000000002%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [SIRENUSDT] Фандинг 2 (Diff) триггер: diff=0.102072%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [SNDKUSDT] Фандинг 2 (Diff) триггер: diff=0.079403%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [SPACEUSDT] Фандинг 2 (Diff) триггер: diff=0.058274999999999993%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [TACUSDT] Фандинг 2 (Diff) триггер: diff=0.094942%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [TAUSDT] Фандинг 2 (Diff) триггер: diff=0.052971%, min_time_left=1428.0s
2026-04-17 02:36:12 | DEBUG | entry | [TRIAUSDT] Фандинг 2 (Diff) триггер: diff=0.069851%, min_time_left=1428.0s
