2026-05-05 18:33:49 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:34:18 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:35:07 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:35:54 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:36:47 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 18:44:36 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:44:48 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:45:15 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:45:27 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:45:59 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:47:07 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:47:46 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:48:11 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 19:01:52 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:01:52 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 19:01:53 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-05 19:01:53 | INFO | api | 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-05 19:01:53 | INFO | api | 🌐 Stakan WS подключен: на 3 монет.
2026-05-05 19:01:53 | INFO | api | ✅ Авторизация успешна! Подписываемся на канал (aop_p.subscribe)...
2026-05-05 19:01:54 | INFO | api | 🎯 Подписка ПРИНЯТА БИРЖЕЙ! Канал USDT-фьючерсов открыт.
2026-05-05 19:12:02 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 19:12:14 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:12:25 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:13:11 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:13:32 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:14:17 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:14:28 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:16:07 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 19:16:07 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 19:16:08 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-05 19:16:08 | INFO | api | 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-05 19:16:08 | INFO | api | 🌐 Stakan WS подключен: на 3 монет.
2026-05-05 19:16:08 | INFO | api | ✅ Авторизация успешна! Подписываемся на канал (aop_p.subscribe)...
2026-05-05 19:16:08 | INFO | api | 🎯 Подписка ПРИНЯТА БИРЖЕЙ! Канал USDT-фьючерсов открыт.
2026-05-05 19:26:31 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
