2026-05-02 23:02:21 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 1.2 < 1.25
2026-05-02 23:02:22 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.95% > 0.75%
2026-05-02 23:02:22 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.91% > 0.75%
2026-05-02 23:02:22 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.13% > 0.75%
2026-05-02 23:02:22 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.09% > 0.75%
2026-05-02 23:02:22 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.08% > 0.75%
2026-05-02 23:02:23 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.31% > 0.75%
2026-05-02 23:02:23 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.23% > 0.75%
2026-05-02 23:02:23 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Vol 5.5 < 10
2026-05-02 23:02:25 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.1 < 1.25
2026-05-02 23:02:25 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.2 < 1.25
2026-05-02 23:02:26 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.4 < 1.25
2026-05-02 23:02:26 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.3 < 1.25
2026-05-02 23:02:27 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.5 < 1.25
2026-05-02 23:02:29 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.6 < 1.25
2026-05-02 23:02:35 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.2 < 1.25
2026-05-02 23:02:36 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.1 < 1.25
2026-05-02 23:02:37 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.8 < 1.25
2026-05-02 23:02:38 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.3 < 1.25
2026-05-02 23:02:39 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.9 < 1.25
2026-05-02 23:02:43 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.4 < 1.25
2026-05-02 23:02:45 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.2 < 1.25
2026-05-02 23:02:49 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.7 < 1.25
2026-05-02 23:02:51 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.9 < 1.25
2026-05-02 23:02:53 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.4 < 1.25
2026-05-02 23:02:54 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.6 < 1.25
2026-05-02 23:02:56 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.5 < 1.25
2026-05-02 23:03:01 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.9 < 1.25
2026-05-02 23:03:03 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.31% > 0.75%
2026-05-02 23:03:04 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.87% > 0.75%
2026-05-02 23:03:24 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.35% > 0.75%
2026-05-02 23:03:26 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Vol 5.1 < 10
2026-05-02 23:03:26 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.52% > 0.75%
2026-05-02 23:03:27 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.56% > 0.75%
2026-05-02 23:03:28 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.54% > 0.75%
2026-05-02 23:03:29 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.36% > 0.75%
2026-05-02 23:03:30 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.33% > 0.75%
2026-05-02 23:03:32 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.29% > 0.75%
2026-05-02 23:03:34 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.17% > 0.75%
2026-05-02 23:03:35 | DEBUG | pattern_math | [XNYUSDT] [LONG] Skip: OB Spread 1.18% > 0.75%
2026-05-02 23:04:23 | DEBUG | pattern_math | [KNCUSDT] [LONG] Skip: Imbalance 0.9 < 1.25
2026-05-02 23:04:36 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.34% > 0.75%
2026-05-02 23:04:36 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.01% > 0.75%
2026-05-02 23:04:36 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.00% > 0.75%
2026-05-02 23:04:38 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.25% > 0.75%
2026-05-02 23:04:39 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.97% > 0.75%
2026-05-02 23:04:40 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.33% > 0.75%
2026-05-02 23:04:40 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.32% > 0.75%
2026-05-02 23:04:43 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.18% > 0.75%
2026-05-02 23:04:43 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Vol 5.2 < 10
2026-05-02 23:04:44 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.83% > 0.75%
2026-05-02 23:04:45 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.8 < 1.25
2026-05-02 23:04:46 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.7 < 1.25
2026-05-02 23:04:49 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.0 < 1.25
2026-05-02 23:04:49 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.82% > 0.75%
2026-05-02 23:04:49 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.81% > 0.75%
2026-05-02 23:04:51 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.10% > 0.75%
2026-05-02 23:04:52 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.03% > 0.75%
2026-05-02 23:04:52 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.90% > 0.75%
2026-05-02 23:04:52 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.89% > 0.75%
2026-05-02 23:04:53 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.88% > 0.75%
2026-05-02 23:04:53 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.87% > 0.75%
2026-05-02 23:04:53 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.85% > 0.75%
2026-05-02 23:04:53 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.84% > 0.75%
2026-05-02 23:04:53 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.20% > 0.75%
2026-05-02 23:04:53 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.24% > 0.75%
2026-05-02 23:04:53 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.19% > 0.75%
2026-05-02 23:04:53 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.01% > 0.75%
2026-05-02 23:04:53 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.00% > 0.75%
2026-05-02 23:04:56 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.97% > 0.75%
2026-05-02 23:04:56 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.96% > 0.75%
2026-05-02 23:05:02 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.40% > 0.75%
2026-05-02 23:05:02 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.18% > 0.75%
