2026-04-02 23:30:10 | DEBUG | bot | [ROSEUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:10 | DEBUG | bot | [ENSUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:11 | DEBUG | bot | [SPELLUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:11 | DEBUG | bot | [SANDUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:12 | DEBUG | bot | [PAXGUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:12 | DEBUG | bot | [XLMUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:13 | DEBUG | bot | [SKLUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:13 | DEBUG | bot | [DYDXUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:14 | DEBUG | bot | [INJUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:14 | DEBUG | bot | [ARPAUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:15 | DEBUG | bot | [AAVEUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:15 | DEBUG | bot | [AGLDUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:16 | DEBUG | bot | [DASHUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:16 | DEBUG | bot | [ONTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:17 | DEBUG | bot | [SFPUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:17 | DEBUG | bot | [OPUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:18 | DEBUG | bot | [1INCHUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:18 | DEBUG | bot | [STGUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:19 | DEBUG | bot | [COTIUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:19 | DEBUG | bot | [LPTUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:20 | DEBUG | bot | [KNCUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:20 | DEBUG | bot | [HFTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:21 | DEBUG | bot | [KSMUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:21 | DEBUG | bot | [IOTXUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:22 | DEBUG | bot | [COMPUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:22 | DEBUG | bot | [MINAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:23 | DEBUG | bot | [ANKRUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:23 | DEBUG | bot | [ZENUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:24 | DEBUG | bot | [WOOUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:25 | DEBUG | bot | [YGGUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:25 | DEBUG | bot | [PEOPLEUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:26 | DEBUG | bot | [IOSTUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:26 | DEBUG | bot | [TUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:27 | DEBUG | bot | [FETUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:27 | DEBUG | bot | [HIGHUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:28 | DEBUG | bot | [BLURUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:28 | DEBUG | bot | [ASTRUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:29 | DEBUG | bot | [CFXUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:29 | DEBUG | bot | [STXUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:30 | DEBUG | bot | [SSVUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:30 | DEBUG | bot | [HBARUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:31 | DEBUG | bot | [CKBUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:31 | DEBUG | bot | [RLCUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:32 | DEBUG | bot | [TRUUSDT] Успешно: ISOLATED Margin, Lev=21x
